Name,Owner,Specialties,Neighborhood,Address,Website,Instagram
Atl Body Works,Kala Evans,Massage and Wellness,Midtown,1075 Peachtree Street Suite 3 Atlanta GA 30309 USA,www.atlbodyworksco.com,atlmskalabodywork
Atlanta’s Finest Salon and Spa,,"Salon, Spa",East Point,"3560 Camp Creek Pkwy, East Point, GA 30344",https://www.facebook.com/Atlantas-Finest-Salon-and-Spa-121058321330275/,
Facials BiDesign,James McCall,"Facials, Skincare, Wax",Camp Creek,"Camp Creek Pkwy, Atlanta, GA 30344",Www.facialsbidesign.com,Facialsbidesign
Iwi Fresh,Yolanda Owens,"Natural, raw skincare",Downtown,341 NELSON ST ATLANTA GA 30313,https://www.iwifresh.com/,IwiFresh
Ode to Wonder Spa,Cienna Rose ,"Spa, Natural Skin Care, Wax","Old Fourth Ward, Poncey Highland","828 Ralph McGill Blvd. NE #312 Atlanta, GA 30306",Www.odetowonderatl.com,@odetowonder.atl
