Name,Owner,Service,Neighborhood,Address,Website,Instagram
CRUE Consulting,Ashley Keeler,"CFO Services, Accounting, Taxes",Midtown,"1175 Peachtree St NE, 10th Floor Atlanta, GA 30361",crueconsulting.com,@crueconsulting
The Gathering Spot,Ryan Wilson and TK Petersen,Collaboration Hub,Metro Atlanta,"384 Northyards Blvd NW Building 100, Suite 190. Atlanta, GA 30313",https://thegatheringspot.club/,thegatheringspots
Graham Estate Planning ,Stephanie P. Graham,"Law (Wills, Trusts, Probate & Litigation)",Sandy Springs,"6075 Barfield Road, Sandy Springs, GA 30328",grahamestateplanning.com,spgrahamlaw
Hey Baby Untrasound,,Ultrasound,Metro Atlanta,"427 Moreland Ave NE, Suite 100-C, Atlanta, GA 30307",https://www.heybabyatl.com/,heybabyatl
Kaleidoscope Family Therapy,LeNaya and Branden Crawford ,Family Therapy,Candler Park ,"1561 McLendon ave ne Atlanta, Ga 30307",www.kaleidoscopefamilytherapy.com,@kaleidoscopeft
TPM Focus,Monique Mills ,"Business Growth Strategy, Consulting",All,"75 5th St., Atlanta, GA 30308, US",https://www.tpmfocus.com,tpmfocus
Open Journey Travel Agency ,Shanta King,Travel Agency,Online,Online,Openjourney.ibuumerang.com,@openjourneytravelagency
The C-Dub Brand,Carlton Whitfield,"Professional Services, Ministry Support",Midtown,,https://whooptriggerz.com/,
